ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddo9gtqnev3q-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,21/10/2025 19:52:37.184
ddo9gvld8m2k-hqbhl5d,Falabellox,Juguetes,Juguetes Eco,290878,37,21/10/2025 19:52:41.218
ddo9gxfvmgo3-m6ieq1o,Falabellox,Computación,Computación Eco,291458,11,21/10/2025 19:52:45.240
ddo9gzad2lsd-tf6a83e,Falabellox,Electrónica,Electrónica Kit,391354,89,21/10/2025 19:52:49.260
ddo9h0oht9mv-12wf563n,Falabellox,Automotriz,Automotriz Pack,163723,137,21/10/2025 19:52:52.291
ddo9h22rkj83-a6qxaxf,Falabellox,Belleza,Belleza Pro,42974,76,21/10/2025 19:52:55.331
ddo9h4082z9x-b5acgna,Falabellox,Electrodomésticos,Electrodomésticos Plus,575513,19,21/10/2025 19:52:59.531
ddo9h5unm0rp-jrugqn6,Falabellox,Electrodomésticos,Electrodomésticos Kit,431281,159,21/10/2025 19:53:03.547
ddo9h6s9bydp-16wg47ge,Falabellox,Mascotas,Mascotas Pack,31529,75,21/10/2025 19:53:05.579
ddo9h86elppp-jg5rm6j,Falabellox,Hogar,Hogar Pack,204735,3,21/10/2025 19:53:08.611
ddo9h9515rk9-18k3pdyd,Falabellox,Mascotas,Mascotas Max,135111,3,21/10/2025 19:53:10.705
ddo9hak071ff-1726w5iu,Falabellox,Computación,Computación Pro,564722,36,21/10/2025 19:53:13.787
ddo9hcey4e1l-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 19:53:17.835
ddo9heaywa8c-10f1urbv,Falabellox,Electrodomésticos,Electrodomésticos Kit,191699,64,21/10/2025 19:53:21.948
ddo9hg60lapx-om4sfk,Falabellox,Hogar,Hogar Pack,21811,29,21/10/2025 19:53:26.002
ddo9hhk4lxzu-o0ip4da,Falabellox,Belleza,Belleza Pro,40751,1,21/10/2025 19:53:29.032
ddo9hjf6edbp-ct7pg3i,Falabellox,Juguetes,Juguetes Mini,126044,102,21/10/2025 19:53:33.086
