ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddnj0xhefpg8-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:09:22.647
ddnj0zsyvu3j-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:09:27.700
ddnj12d24ecl-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:09:33.269
ddnj61ctt78g-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:16:02.899
ddnj63pa5ayz-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:16:08.005
ddnj661x8hle-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:16:13.123
ddnjemn9nhwg-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:27:16.156
ddnjeoyxxzw2-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:27:21.215
ddnjerb8leer-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:27:26.312
ddnjviikx8cm-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:49:19.356
ddnjvlccngcx-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:49:25.510
ddnjvokukcr7-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:49:32.554
